17/09/2018,18.2
18/09/2018,17.5
19/09/2018,17.7
20/09/2018,15.2
21/09/2018,11.4
22/09/2018,10.5
23/09/2018,10
24/09/2018,8.6
25/09/2018,9.3
26/09/2018,13.7
27/09/2018,15.7
28/09/2018,11.7
29/09/2018,8.9
30/09/2018,9.4
01/10/2018,9.4
02/10/2018,12.6
03/10/2018,13.6
04/10/2018,13.5
05/10/2018,14.6
06/10/2018,8.5
07/10/2018,7.4
08/10/2018,10.4
09/10/2018,14.3
10/10/2018,15.1
11/10/2018,16.1
12/10/2018,14.8
13/10/2018,18.4
14/10/2018,11
15/10/2018,10
16/10/2018,13
17/10/2018,12.8
18/10/2018,9.2
19/10/2018,8.6
20/10/2018,10.7
21/10/2018,12.5
22/10/2018,8.4
23/10/2018,10.2
24/10/2018,11.7
25/10/2018,8.8
26/10/2018,8
27/10/2018,3.1
28/10/2018,5.8
29/10/2018,3.6
30/10/2018,3.6
31/10/2018,5.3
01/11/2018,7.1
02/11/2018,6.2
03/11/2018,9
04/11/2018,11
05/11/2018,10.2
06/11/2018,11.5
07/11/2018,12.2
08/11/2018,8.7
09/11/2018,9.6
10/11/2018,10
11/11/2018,9.4
12/11/2018,10.5
13/11/2018,9.9
14/11/2018,11.5
15/11/2018,10.9
16/11/2018,10.9
17/11/2018,8.8
18/11/2018,7.3
19/11/2018,6.6
20/11/2018,5
21/11/2018,4
22/11/2018,1.6
23/11/2018,3.8
24/11/2018,6.3
25/11/2018,5.8
26/11/2018,5.5
27/11/2018,6.5
28/11/2018,8.2
29/11/2018,11.5
30/11/2018,8.1
01/12/2018,8.6
02/12/2018,10.7
03/12/2018,9.6
04/12/2018,3.8
05/12/2018,6.7
06/12/2018,9.6
07/12/2018,9.7
08/12/2018,8.1
09/12/2018,8.4
10/12/2018,6.7
11/12/2018,5.8
12/12/2018,5.1
13/12/2018,3
14/12/2018,0.8
15/12/2018,3.1
16/12/2018,4.3
17/12/2018,6.7
18/12/2018,6.8
19/12/2018,6.4
20/12/2018,7.7
21/12/2018,7.8
22/12/2018,8.2
23/12/2018,7.5
24/12/2018,4.3
25/12/2018,4.4
26/12/2018,6.7
27/12/2018,7.1
28/12/2018,7.7
29/12/2018,9.5
30/12/2018,7.9
31/12/2018,8.7
